==================================================
====================  start  ====================
==================================================
2019-04-18 00:02:30.791277
config path:  ../deepSfm/configs/superpoint_kitti_test.yaml
config:  {'data': {'name': 'patches_dataset', 'dataset': 'kitti', 'export_folder': 'train', 'alteration': 'all', 'preprocessing': {'resize': [96, 312]}, 'gaussian_label': {'enable': False, 'sigma': 1.0}, 'homography_adaptation': {'enable': True, 'num': 10, 'aggregation': 'sum', 'filter_counts': 0, 'homographies': {'params': {'translation': True, 'rotation': True, 'scaling': True, 'perspective': True, 'scaling_amplitude': 0.2, 'perspective_amplitude_x': 0.2, 'perspective_amplitude_y': 0.2, 'allow_artifacts': True, 'patch_ratio': 0.85}}}}, 'model': {'name': 'magic_point', 'batch_size': 1, 'detection_threshold': 0.015, 'nms': 4, 'top_k': 600, 'nn_thresh': 0.7}, 'iter_max': 100, 'feature_mode': 2, 'eval_iter': -1, 'save_file': 'logs/experiment_kitti_sequence_sp_pretrained.txt', 'pretrained': '../deepSfm/pretrained/superpoint_v1.pth'}
use model:  ../deepSfm/pretrained/superpoint_v1.pth
feature_type:  superpoint
starting frame:  500
======= OpenCV 5-point, thd=(0.10, 1.00): 0.12, 0.80
======= OpenCV 5-point, thd=(0.10, 1.00): 0.00, 0.72
======= OpenCV 5-point, thd=(0.10, 1.00): 0.13, 0.87
======= OpenCV 5-point, thd=(0.10, 1.00): 0.14, 0.74
======= OpenCV 5-point, thd=(0.10, 1.00): 0.04, 0.68
======= OpenCV 5-point, thd=(0.10, 1.00): 0.07, 0.83
======= OpenCV 5-point, thd=(0.10, 1.00): 0.10, 0.90
======= OpenCV 5-point, thd=(0.10, 1.00): 0.10, 0.86
======= OpenCV 5-point, thd=(0.10, 1.00): 0.06, 0.88
======= OpenCV 5-point, thd=(0.10, 1.00): 0.13, 0.87
======= OpenCV 5-point, thd=(0.10, 1.00): 0.08, 0.71
======= OpenCV 5-point, thd=(0.10, 1.00): 0.07, 0.84
======= OpenCV 5-point, thd=(0.10, 1.00): 0.11, 0.89
======= OpenCV 5-point, thd=(0.10, 1.00): 0.15, 0.88
======= OpenCV 5-point, thd=(0.10, 1.00): 0.12, 0.82
======= OpenCV 5-point, thd=(0.10, 1.00): 0.16, 0.79
======= OpenCV 5-point, thd=(0.10, 1.00): 0.13, 0.77
======= OpenCV 5-point, thd=(0.10, 1.00): 0.05, 0.73
======= OpenCV 5-point, thd=(0.10, 1.00): 0.12, 0.82
======= OpenCV 5-point, thd=(0.10, 1.00): 0.09, 0.77
======= OpenCV 5-point, thd=(0.10, 1.00): 0.10, 0.80
======= OpenCV 5-point, thd=(0.10, 1.00): 0.10, 0.87
======= OpenCV 5-point, thd=(0.10, 1.00): 0.09, 0.78
======= OpenCV 5-point, thd=(0.10, 1.00): 0.14, 0.80
======= OpenCV 5-point, thd=(0.10, 1.00): 0.12, 0.64
percentage of inliers over 100 frames, thd=(0.10, 1.00): (0.10, 0.77)
====================    end    ====================
==================================================
==================================================
====================  start  ====================
==================================================
2019-04-20 16:42:10.289145
config path:  ../deepSfm/configs/superpoint_kitti_test.yaml
config:  {'data': {'name': 'patches_dataset', 'dataset': 'kitti', 'export_folder': 'train', 'alteration': 'all', 'preprocessing': {'resize': [96, 312]}, 'gaussian_label': {'enable': False, 'sigma': 1.0}, 'homography_adaptation': {'enable': True, 'num': 10, 'aggregation': 'sum', 'filter_counts': 0, 'homographies': {'params': {'translation': True, 'rotation': True, 'scaling': True, 'perspective': True, 'scaling_amplitude': 0.2, 'perspective_amplitude_x': 0.2, 'perspective_amplitude_y': 0.2, 'allow_artifacts': True, 'patch_ratio': 0.85}}}}, 'model': {'name': 'magic_point', 'batch_size': 1, 'detection_threshold': 0.015, 'nms': 4, 'top_k': 600, 'nn_thresh': 0.7}, 'iter_max': 100, 'five_point': False, 'feature_mode': 2, 'save_file': 'logs/experiment_kitti_sequence_sp_pretrained.txt', 'pretrained': '../deepSfm/pretrained/superpoint_v1.pth'}
config:  {'data': {'name': 'patches_dataset', 'dataset': 'kitti', 'export_folder': 'train', 'alteration': 'all', 'preprocessing': {'resize': [96, 312]}, 'gaussian_label': {'enable': False, 'sigma': 1.0}, 'homography_adaptation': {'enable': True, 'num': 10, 'aggregation': 'sum', 'filter_counts': 0, 'homographies': {'params': {'translation': True, 'rotation': True, 'scaling': True, 'perspective': True, 'scaling_amplitude': 0.2, 'perspective_amplitude_x': 0.2, 'perspective_amplitude_y': 0.2, 'allow_artifacts': True, 'patch_ratio': 0.85}}}}, 'model': {'name': 'magic_point', 'batch_size': 1, 'detection_threshold': 0.015, 'nms': 4, 'top_k': 600, 'nn_thresh': 0.7}, 'iter_max': 100, 'five_point': False, 'feature_mode': 2, 'save_file': 'logs/experiment_kitti_sequence_sp_pretrained.txt', 'pretrained': '../deepSfm/pretrained/superpoint_v1.pth'}
use model:  ../deepSfm/pretrained/superpoint_v1.pth
feature_type:  superpoint
starting frame:  500
====================   8_point   ====================
======= 8_point, thd=(0.10, 1.00): 0.15, 0.77
======= 8_point, thd=(0.10, 1.00): 0.12, 0.69
======= 8_point, thd=(0.10, 1.00): 0.12, 0.86
======= 8_point, thd=(0.10, 1.00): 0.13, 0.80
======= 8_point, thd=(0.10, 1.00): 0.12, 0.79
======= 8_point, thd=(0.10, 1.00): 0.07, 0.81
======= 8_point, thd=(0.10, 1.00): 0.17, 0.72
======= 8_point, thd=(0.10, 1.00): 0.12, 0.84
======= 8_point, thd=(0.10, 1.00): 0.14, 0.84
======= 8_point, thd=(0.10, 1.00): 0.11, 0.89
======= 8_point, thd=(0.10, 1.00): 0.12, 0.77
======= 8_point, thd=(0.10, 1.00): 0.11, 0.82
======= 8_point, thd=(0.10, 1.00): 0.13, 0.88
======= 8_point, thd=(0.10, 1.00): 0.12, 0.80
======= 8_point, thd=(0.10, 1.00): 0.09, 0.81
======= 8_point, thd=(0.10, 1.00): 0.16, 0.86
======= 8_point, thd=(0.10, 1.00): 0.09, 0.84
======= 8_point, thd=(0.10, 1.00): 0.05, 0.80
======= 8_point, thd=(0.10, 1.00): 0.09, 0.77
======= 8_point, thd=(0.10, 1.00): 0.07, 0.71
======= 8_point, thd=(0.10, 1.00): 0.07, 0.79
======= 8_point, thd=(0.10, 1.00): 0.11, 0.75
======= 8_point, thd=(0.10, 1.00): 0.10, 0.79
======= 8_point, thd=(0.10, 1.00): 0.12, 0.73
======= 8_point, thd=(0.10, 1.00): 0.13, 0.76
======= 8_point, thd=(0.10, 1.00): 0.12, 0.75
======= 8_point, thd=(0.10, 1.00): 0.15, 0.82
======= 8_point, thd=(0.10, 1.00): 0.14, 0.78
======= 8_point, thd=(0.10, 1.00): 0.09, 0.65
======= 8_point, thd=(0.10, 1.00): 0.05, 0.78
======= 8_point, thd=(0.10, 1.00): 0.08, 0.71
======= 8_point, thd=(0.10, 1.00): 0.10, 0.74
======= 8_point, thd=(0.10, 1.00): 0.10, 0.84
======= 8_point, thd=(0.10, 1.00): 0.07, 0.78
======= 8_point, thd=(0.10, 1.00): 0.09, 0.72
======= 8_point, thd=(0.10, 1.00): 0.32, 0.73
======= 8_point, thd=(0.10, 1.00): 0.03, 0.64
======= 8_point, thd=(0.10, 1.00): 0.10, 0.76
======= 8_point, thd=(0.10, 1.00): 0.09, 0.68
======= 8_point, thd=(0.10, 1.00): 0.13, 0.76
======= 8_point, thd=(0.10, 1.00): 0.10, 0.83
======= 8_point, thd=(0.10, 1.00): 0.12, 0.83
======= 8_point, thd=(0.10, 1.00): 0.07, 0.72
======= 8_point, thd=(0.10, 1.00): 0.14, 0.58
======= 8_point, thd=(0.10, 1.00): 0.02, 0.57
======= 8_point, thd=(0.10, 1.00): 0.06, 0.81
======= 8_point, thd=(0.10, 1.00): 0.19, 0.78
======= 8_point, thd=(0.10, 1.00): 0.09, 0.69
======= 8_point, thd=(0.10, 1.00): 0.09, 0.67
======= 8_point, thd=(0.10, 1.00): 0.10, 0.80
======= 8_point, thd=(0.10, 1.00): 0.05, 0.63
======= 8_point, thd=(0.10, 1.00): 0.11, 0.70
======= 8_point, thd=(0.10, 1.00): 0.09, 0.72
======= 8_point, thd=(0.10, 1.00): 0.02, 0.75
======= 8_point, thd=(0.10, 1.00): 0.10, 0.69
======= 8_point, thd=(0.10, 1.00): 0.06, 0.73
======= 8_point, thd=(0.10, 1.00): 0.06, 0.70
======= 8_point, thd=(0.10, 1.00): 0.10, 0.83
======= 8_point, thd=(0.10, 1.00): 0.02, 0.84
======= 8_point, thd=(0.10, 1.00): 0.02, 0.76
======= 8_point, thd=(0.10, 1.00): 0.03, 0.63
======= 8_point, thd=(0.10, 1.00): 0.04, 0.89
======= 8_point, thd=(0.10, 1.00): 0.15, 0.70
======= 8_point, thd=(0.10, 1.00): 0.14, 0.75
======= 8_point, thd=(0.10, 1.00): 0.16, 0.76
======= 8_point, thd=(0.10, 1.00): 0.03, 0.79
======= 8_point, thd=(0.10, 1.00): 0.03, 0.58
======= 8_point, thd=(0.10, 1.00): 0.00, 0.42
======= 8_point, thd=(0.10, 1.00): 0.13, 0.78
======= 8_point, thd=(0.10, 1.00): 0.06, 0.67
======= 8_point, thd=(0.10, 1.00): 0.13, 0.71
======= 8_point, thd=(0.10, 1.00): 0.13, 0.71
======= 8_point, thd=(0.10, 1.00): 0.05, 0.90
======= 8_point, thd=(0.10, 1.00): 0.06, 0.86
======= 8_point, thd=(0.10, 1.00): 0.06, 0.71
======= 8_point, thd=(0.10, 1.00): 0.12, 0.80
======= 8_point, thd=(0.10, 1.00): 0.00, 0.72
======= 8_point, thd=(0.10, 1.00): 0.13, 0.87
======= 8_point, thd=(0.10, 1.00): 0.14, 0.74
======= 8_point, thd=(0.10, 1.00): 0.04, 0.68
======= 8_point, thd=(0.10, 1.00): 0.07, 0.83
======= 8_point, thd=(0.10, 1.00): 0.10, 0.90
======= 8_point, thd=(0.10, 1.00): 0.10, 0.86
======= 8_point, thd=(0.10, 1.00): 0.06, 0.88
======= 8_point, thd=(0.10, 1.00): 0.13, 0.87
======= 8_point, thd=(0.10, 1.00): 0.08, 0.71
======= 8_point, thd=(0.10, 1.00): 0.07, 0.84
======= 8_point, thd=(0.10, 1.00): 0.11, 0.89
======= 8_point, thd=(0.10, 1.00): 0.15, 0.88
======= 8_point, thd=(0.10, 1.00): 0.12, 0.82
======= 8_point, thd=(0.10, 1.00): 0.16, 0.79
======= 8_point, thd=(0.10, 1.00): 0.13, 0.77
======= 8_point, thd=(0.10, 1.00): 0.05, 0.73
======= 8_point, thd=(0.10, 1.00): 0.12, 0.82
======= 8_point, thd=(0.10, 1.00): 0.09, 0.77
======= 8_point, thd=(0.10, 1.00): 0.10, 0.80
======= 8_point, thd=(0.10, 1.00): 0.10, 0.87
======= 8_point, thd=(0.10, 1.00): 0.09, 0.78
======= 8_point, thd=(0.10, 1.00): 0.14, 0.80
======= 8_point, thd=(0.10, 1.00): 0.12, 0.64
average number of correspondences: 63.22
percentage of inliers over 100 frames, thd=(0.10, 1.00): (0.10, 0.77)
====================   opencv_Rt   ====================
error_R = 1.4397, error_t = 3.1252
error_R = 0.8479, error_t = 1.9770
error_R = 1.1390, error_t = 2.0339
error_R = 3.2588, error_t = 14.4126
error_R = 1.3464, error_t = 4.7151
error_R = 2.7141, error_t = 7.9517
error_R = 1.9134, error_t = 17.3210
error_R = 0.7705, error_t = 17.2740
error_R = 0.8123, error_t = 17.8726
error_R = 1.2741, error_t = 9.8679
error_R = 0.9531, error_t = 15.8700
error_R = 1.4591, error_t = 9.0483
error_R = 2.6880, error_t = 10.9389
error_R = 1.2837, error_t = 1.7229
error_R = 0.2337, error_t = 6.1402
error_R = 2.6509, error_t = 21.4284
error_R = 0.8553, error_t = 14.7835
error_R = 0.9885, error_t = 7.0660
error_R = 3.3314, error_t = 9.0504
error_R = 2.1157, error_t = 37.1985
error_R = 1.5498, error_t = 2.5831
error_R = 1.1475, error_t = 17.2582
error_R = 3.4322, error_t = 19.0754
error_R = 1.4748, error_t = 26.6966
error_R = 2.1090, error_t = 11.5961
error_R = 6.2781, error_t = 94.5742
error_R = 2.1160, error_t = 33.1009
error_R = 0.9167, error_t = 3.8338
error_R = 3.0144, error_t = 2.7924
error_R = 0.1678, error_t = 1.6209
error_R = 0.2329, error_t = 0.3337
error_R = 0.3850, error_t = 1.1740
error_R = 0.4505, error_t = 0.9050
error_R = 0.3413, error_t = 0.7702
error_R = 0.8458, error_t = 1.2102
error_R = 1.3426, error_t = 2.2137
error_R = 1.9634, error_t = 0.5744
error_R = 4.5599, error_t = 6.4772
error_R = 2.9995, error_t = 10.0026
error_R = 1.1225, error_t = 1.5138
error_R = 1.3196, error_t = 2.3385
error_R = 0.1453, error_t = 0.8757
error_R = 0.1629, error_t = 1.0952
error_R = 0.8838, error_t = 4.1986
error_R = 0.5717, error_t = 1.0155
error_R = 2.4668, error_t = 1.5342
error_R = 0.4031, error_t = 1.1146
error_R = 1.1599, error_t = 3.2329
error_R = 4.6092, error_t = 15.1307
error_R = 0.9403, error_t = 0.7572
error_R = 2.3370, error_t = 0.4541
error_R = 0.3523, error_t = 2.2747
error_R = 0.5615, error_t = 0.8812
error_R = 0.7872, error_t = 0.6322
error_R = 0.1293, error_t = 1.9602
error_R = 0.2523, error_t = 1.5430
error_R = 0.2809, error_t = 0.9957
error_R = 0.6671, error_t = 3.7076
error_R = 1.5106, error_t = 2.0043
error_R = 0.4509, error_t = 2.0525
error_R = 9.3991, error_t = 26.9865
error_R = 4.4347, error_t = 13.5489
error_R = 8.8432, error_t = 160.7950
error_R = 1.3703, error_t = 0.6247
error_R = 3.1657, error_t = 3.7607
error_R = 0.3182, error_t = 0.3137
error_R = 0.7343, error_t = 1.0952
error_R = 1.0516, error_t = 0.7970
error_R = 3.0104, error_t = 1.5853
error_R = 5.4698, error_t = 1.5738
error_R = 3.5670, error_t = 4.2702
error_R = 2.3832, error_t = 2.8575
error_R = 2.6642, error_t = 0.7784
error_R = 0.9985, error_t = 2.3439
error_R = 0.4911, error_t = 20.0041
error_R = 27.1292, error_t = 155.6307
error_R = 4.3268, error_t = 2.9795
error_R = 1.7248, error_t = 3.4869
error_R = 1.0054, error_t = 12.6274
error_R = 10.1936, error_t = 60.6394
error_R = 1.1352, error_t = 16.4499
error_R = 0.5763, error_t = 1.7451
error_R = 1.1308, error_t = 48.3216
error_R = 0.6220, error_t = 0.7327
error_R = 8.4425, error_t = 26.9141
error_R = 2.0769, error_t = 15.6804
error_R = 2.0530, error_t = 21.9051
error_R = 3.1839, error_t = 2.4587
error_R = 2.4566, error_t = 12.3192
error_R = 1.0415, error_t = 0.9523
error_R = 5.3067, error_t = 7.1032
error_R = 1.8262, error_t = 24.4756
error_R = 2.8785, error_t = 4.7808
error_R = 0.4680, error_t = 22.2584
error_R = 1.7840, error_t = 12.6692
error_R = 0.8061, error_t = 20.7752
error_R = 0.7372, error_t = 13.8733
error_R = 0.8820, error_t = 1.1713
error_R = 0.3171, error_t = 11.6767
error_R = 13.3844, error_t = 88.6691
======= opencv_Rt, thd: (0.1, 0.5, 1.0, 5.0, 10.0), ([0. 0.], [0.18 0.03], [0.39 0.16], [0.91 0.55], [0.97 0.63])
====================    end    ====================
==================================================
